序号,产品型号,白光分类(WHITE),IF(mA),VF(V),P(mW),VR(V),IR(uA),Φ(lm),Φe(mW),光效(lm/W),Ip,x,y,Rf,Rg,Tc(K),主波长(nm),峰值波长(nm),Ra,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,时间,SDCM,积分时间(ms)
1,2835暖白,ANSI_3000K,60,2.887,173.2,,,29.24,85.96,168.8,14131,0.4428,0.4013,81.1,97,2881,584,604.1,82.3,81.14,91.7,95.26,80.03,81.48,90.22,81.16,57.16,5.6,81.29,79.81,73.24,83.75,98.21,73.45,2019-09-24 15-33,2.4,300
2,2835暖白,ANSI_3000K,60.03,2.883,173.1,,,28.73,84.35,166,13757,0.4405,0.4013,81.7,96.4,2919,583.7,606,82.6,81.65,92.38,94.72,80.18,82.05,91.04,81.19,57.66,6.88,82.8,79.98,73.03,84.39,97.91,73.92,2019-09-24 15-34,1.1,300
3,2835暖白,ANSI_3000K,60.01,2.887,173.2,,,28.83,86.95,166.4,14175,0.4415,0.4052,81.7,95.4,2934,583.2,605.4,82.2,80.83,91.6,95.37,79.77,81.13,90.15,81.55,57.17,4.72,81.06,79.31,70.92,83.47,98.2,72.89,2019-09-24 15-35,1,300
4,2835暖白,ANSI_3000K,60,2.888,173.3,,,29.03,85.08,167.53,13881,0.4388,0.4021,82,95.7,2952,583.4,604.1,82.8,81.73,92.45,94.82,80.31,82.18,91.16,81.39,57.97,7.23,82.9,80.05,72.61,84.46,97.95,73.97,2019-09-24 15-36,0.6,300
5,2835暖白,ANSI_3000K,30,2.737,82.15,,,15.02,44.73,182.92,7725,0.4357,0.3938,81.2,97.9,2936,584.6,605.7,83.2,82.98,93.44,94.06,80.67,83.34,91.77,80.87,58.86,10.64,84.87,80.59,74.52,85.83,97.69,75.86,2019-09-24 15-37,3.9,300
6,2835暖白,ANSI_3000K,30,2.759,82.8,,,14.97,44.49,180.86,7775,0.4408,0.3962,81.1,97.7,2871,584.7,608,82.9,82.5,93.38,93.67,80.33,83.09,92.09,80.31,57.77,9.16,85.05,80.34,75.47,85.4,97.42,75.07,2019-09-24 15-37,3.9,300
7,2835暖白,ANSI_3000K,29.97,2.734,81.96,,,14.81,44.14,180.74,7673,0.4391,0.397,81.2,97.4,2905,584.4,605.4,82.7,82.01,92.72,94.37,80.2,82.52,91.28,80.68,57.74,8.05,83.5,80,74.03,84.78,97.81,74.62,2019-09-24 15-37,2.9,300
8,2835暖白,ANSI_3000K,29.97,2.739,82.1,,,15.05,45.03,183.34,7832,0.4396,0.3943,81.3,97.4,2875,585,605.4,83.1,83.2,94.51,92.46,80.18,83.95,93.07,79.59,57.82,10.74,87.48,80.13,75.86,86.37,96.81,75.83,2019-09-24 15-37,4.4,300
